icao24,origin_country,velocity,geo_altitude
a77412,United States,52.27,2141.22
a71dc2,United States,203.15,10683.24
a5ddb0,United States,81.36,1988.82
ad071d,United States,75.83,533.4
87455c,Japan,188.69,12123.42
8014b0,India,269.38,11041.38
a474d3,United States,40.3,777.24
a354da,United States,82.03,7696.2
a28473,United States,221.38,6926.58
ab774b,United States,74.37,167.64
c0481b,Canada,117.54,1280.16
c0481c,Canada,220.88,9906.0
a46de7,United States,56.47,510.54
ad0725,United States,247.92,10797.54
a2c118,United States,138.01,7818.12
8a0494,Indonesia,208.6,7040.88
8014ad,India,226.17,6926.58
a6b71a,United States,49.32,1287.78
ad67a4,United States,98.82,1158.24
a1b472,United States,2.12,708.66
861e9a,Japan,183.68,10096.5
c8111c,New Zealand,86.95,3200.4
a00929,United States,0.45,
accd13,United States,244.17,9624.06
7c362d,Australia,62.26,297.18
a3a4ed,United States,84.92,548.64
accd10,United States,205.29,8991.6
ad67bf,United States,55.68,259.08
e0b244,Argentina,180.74,5524.5
a091f3,United States,215.17,8404.86
e07585,Argentina,216.9,11490.96
e07583,Argentina,0.0,
ab5d4a,United States,109.59,2583.18
a64d51,United States,41.42,2034.54
a3ed7c,United States,153.69,3002.28
a2845b,United States,1.29,
a91700,United States,4.63,
c04850,Canada,121.22,5836.92
a1b449,United States,147.19,1409.7
a65454,United States,224.63,9502.14
7c3631,Australia,68.65,1310.64
7cf9c4,Australia,201.69,4945.38
84d28e,Japan,1.29,
a487cd,United States,12.37,259.08
aaf4c8,United States,225.32,10050.78
a70aa1,United States,219.64,9395.46
e07594,Argentina,68.03,114.3
a857c2,United States,236.58,9372.6
a6f28c,United States,224.16,5509.26
e49eeb,Brazil,226.6,12306.3
86d5c3,Japan,263.91,7360.92
e49eee,Brazil,6.17,
a2ba7e,United States,0.0,
e49eed,Brazil,87.2,1242.06
14fc06,Russian Federation,193.34,10454.64
ab14f5,United States,46.07,685.8
ac1ab8,United States,170.44,5257.8
e49ef4,Brazil,207.32,
85188c,Japan,115.83,1036.32
