icao24,origin_country,velocity,on_ground
0a0024,Algeria,236.89,False
7c6af1,Australia,91.43,False
7c6af0,Australia,111.89,False
7c0a5d,Australia,107.27,False
7c0a70,Australia,39.26,False
7c6aea,Australia,86.28,False
7c6aef,Australia,131.51,False
7c6ae5,Australia,133.65,False
8015e3,India,254.22,False
885332,Thailand,186.31,False
3c4ad9,Germany,315.98,False
3c4ad8,Germany,211.36,False
7c6ae2,Australia,135.46,False
8015e8,India,57.89,False
a2bb89,United States,120.96,False
8015e5,India,229.6,False
a3a5cf,United States,181.92,False
781a96,China,182.19,False
3c64f0,Germany,87.43,False
78216a,China,306.88,False
a64e2a,United States,60.97,False
3c64f6,Germany,236.83,False
c81c9e,New Zealand,118.0,False
8015db,India,234.52,False
75840b,Philippines,96.07,False
0180a4,Libyan Arab Jamahiriya,240.19,False
8015f7,India,248.73,False
abae8f,United States,70.37,False
a64208,United States,69.27,False
88530d,Thailand,103.41,False
ad8b48,United States,58.52,False
885313,Thailand,86.1,False
aad058,United States,39.53,False
4bc852,Turkey,160.11,False
a8de7d,United States,270.13,False
a1adab,United States,98.79,False
a99b5f,United States,4.12,True
c021f6,Canada,239.97,False
c06a76,Canada,131.43,False
4bc84c,Turkey,101.74,False
3c6635,Germany,218.01,False
70203e,Bangladesh,298.73,False
aa92fa,United States,2.83,True
0d112a,Mexico,190.63,False
c06a7d,Canada,231.61,False
702067,Bangladesh,82.42,False
aa92ff,United States,213.21,False
70204b,Bangladesh,294.85,False
842250,Japan,134.69,False
728683,Iraq,187.59,False
3c6655,Germany,2.83,True
4bc849,Turkey,256.32,False
4b15db,Switzerland,342.13,False
c08497,Canada,200.71,False
4bc848,Turkey,222.99,False
4bc850,Turkey,219.54,False
861ede,Japan,167.1,False
c06a82,Canada,248.59,False
738c06,Israel,223.97,False
a9aebc,United States,200.61,False
4bb567,Turkey,195.3,False
4bc899,Turkey,254.82,False
8638b0,Japan,284.19,False
a33d62,United States,245.72,False
a51b93,United States,151.85,False
702c49,Bangladesh,84.43,False
a427e3,United States,104.61,False
8518d0,Japan,178.63,False
0d0a02,Mexico,209.74,False
a1b4bb,United States,42.97,False
801726,India,1.03,True
a39dca,United States,136.81,False
801733,India,239.58,False
a271b0,United States,205.48,False
ab15a5,United States,88.5,False
738c0b,Israel,203.33,False
841b22,Japan,95.75,False
841b28,Japan,305.72,False
abc80c,United States,188.53,False
a8955e,United States,277.99,False
c0712e,Canada,244.8,False
344503,Spain,274.5,False
8518f2,Japan,174.26,False
ab6529,United States,3.09,True
ac48d3,United States,20.58,True
0d0a21,Mexico,212.12,False
abf09e,United States,8.75,True
4bc885,Turkey,63.5,False
4bb562,Turkey,108.83,False
4bc890,Turkey,146.32,False
a75b5e,United States,196.92,False
a1c7e4,United States,324.14,False
ab15c2,United States,247.6,False
0d1115,Mexico,260.51,False
a14ad4,United States,209.05,False
a11f9d,United States,123.71,False
73806e,Israel,2.83,True
a98909,United States,210.31,False
73806b,Israel,221.02,False
a6bfa6,United States,1.54,True
a0f355,United States,226.32,False
73806f,Israel,220.7,False
7583fa,Philippines,84.55,False
ab87c8,United States,265.05,False
a4995f,United States,185.7,False
ac4717,United States,205.63,False
0d0e2c,Mexico,82.58,False
7c0ada,Australia,53.89,False
7c612d,Australia,50.31,False
80187b,India,191.63,False
4843f2,Kingdom of the Netherlands,257.64,False
80187d,India,186.51,False
aaed17,United States,1.03,True
a5ef0e,United States,114.45,False
a58c29,United States,202.59,False
ab74a8,United States,197.56,False
4b5d9e,Switzerland,5.14,True
a2f6ba,United States,214.02,False
7cc427,Australia,34.53,False
aaed0c,United States,234.57,False
7c6d75,Australia,0.9,True
a316d8,United States,34.59,False
a58c35,United States,4.12,True
738061,Israel,214.17,False
a54fee,United States,146.42,False
a3795a,United States,0.0,True
738065,Israel,198.77,False
801862,India,237.88,False
738064,Israel,242.68,False
c07b05,Canada,0.0,True
738062,Israel,218.84,False
ad4d12,United States,270.6,False
738068,Israel,224.48,False
7c610e,Australia,233.72,False
3c6487,Germany,227.15,False
ac340a,United States,218.74,False
80052d,India,202.15,False
7c24c5,Australia,99.0,False
a22003,United States,197.17,False
0d0e69,Mexico,158.04,False
0d0e5a,Mexico,214.75,False
0d0e5b,Mexico,234.42,False
80185f,India,151.3,False
4bb46f,Turkey,224.89,False
86d996,Japan,320.37,False
7820cd,China,200.73,False
c080db,Canada,0.0,True
3c4a10,Germany,259.01,False
3c4a05,Germany,267.18,False
3c4a04,Germany,267.73,False
3c4a03,Germany,4.63,True
a410b3,United States,261.33,False
a1b0da,United States,176.97,False
7c6d9f,Australia,193.31,False
7c6d9e,Australia,177.56,False
7c6d9c,Australia,209.79,False
702097,Bangladesh,128.84,False
7c6d9b,Australia,0.0,True
7c6d9a,Australia,179.0,False
0d0e04,Mexico,168.25,False
151dd9,Russian Federation,30.0,False
738050,Israel,136.51,False
738053,Israel,191.94,False
3c4a15,Germany,156.86,False
738052,Israel,218.5,False
70207d,Bangladesh,0.0,False
738051,Israel,229.5,False
3c4a14,Germany,329.09,False
738058,Israel,199.62,False
738057,Israel,200.2,False
151dce,Russian Federation,77.11,False
151dcf,Russian Federation,27.75,False
738059,Israel,213.49,False
ae6d01,United States,0.0,False
44003f,Austria,237.76,False
c080e0,Canada,208.11,False
8a04f5,Indonesia,229.57,False
44006c,Austria,7.2,True
3c6446,Germany,225.94,False
ac210e,United States,211.95,False
70209a,Bangladesh,272.59,False
a34c68,United States,4.89,True
7583a8,Philippines,152.73,False
ad675f,United States,244.11,False
7583a1,Philippines,225.86,False
7820fd,China,215.52,False
a423c4,United States,185.94,False
7c6d7c,Australia,30.35,True
